Strain_vM	Stress_vM
1.9582493486507345e-16	1.4404266609530024e-05
0.015551948296628964	125427826.81071632
0.03302896106655982	128801525.82130578
0.050340897547165385	131649356.8054396
0.06747647172794408	134373809.67111665
0.08444060169477563	137008494.48831502
0.10124075811180179	139521241.22070783
0.11788022568273876	141869976.79370043
0.13436878378423872	144036604.26087224
0.15072086196390946	146027168.81359932
0.16693672972116258	147854294.07086137
0.18300979116567254	149526033.8353243
0.19893927699663255	151081080.69428304
