Strain_vM	Stress_vM
1.8503717077085946e-16	1.4029535872712012e-05
0.015792813579891353	144609790.11387658
0.03352067984739568	150781281.33412382
0.05107330450091504	155498304.68256068
0.0684921139856118	159467856.6790265
0.08580079676478562	162991309.4724302
0.10300941804529305	166157311.53776067
0.12013447869284687	169055209.3529059
0.137166878090365	171789545.39831862
0.15404755825581123	174406427.76127335
0.17071364744617556	176823963.16632774
0.18715865373519436	178966020.8268304
0.2034160675323908	180848136.41879117
