Strain_vM	Stress_vM
3.2262333127554164e-16	2.2728588805280333e-05
0.0153769857943049	103719150.84525235
0.03252934084000532	109148515.258014
0.049578463817744306	113430541.91565478
0.06650260055858187	116813432.87827559
0.08331005448291177	119753824.40771362
0.09999271591559272	122418322.42360967
0.1165459415596744	124825008.73981129
0.13298992794300166	126937969.20078939
0.1493416667616284	128823223.98443154
0.1656005029139013	130577203.25073637
0.18175500903146224	132250003.6781376
0.19779040272819076	133860729.9435397
