Strain_vM	Stress_vM
2.6686440283244774e-16	3.861423534968399e-05
0.01622258142331737	86909845.69088577
0.0340560192022207	89360816.89152609
0.051692867908145826	91565221.42344396
0.06913791113430387	93612028.79693645
0.08638769952707048	95574958.79950695
0.10343972319038286	97531608.63037771
0.1202990780501201	99535832.37398162
0.13697797976038728	101501645.44946428
0.15349482189679994	103313756.03654948
0.16986330384546738	105036873.55625668
0.18608916587058047	106772157.20896691
0.20217169759779066	108553178.19447236
