# inc   q0   q1   q2   q3
     0  4.70240998e-03 -9.58244687e-01  1.08437990e-01  2.64549069e-01
    10  3.33148761e-03 -9.57917911e-01  1.07779346e-01  2.66018401e-01
    20  1.73406478e-03 -9.57577027e-01  1.07036597e-01  2.67556345e-01
    30  1.64477425e-04 -9.57220288e-01  1.06287284e-01  2.69132506e-01
    40 -1.40391223e-03 -9.56839109e-01  1.05531067e-01  2.70776925e-01
    50 -2.97447657e-03 -9.56433952e-01  1.04760866e-01  2.72489282e-01
    60 -4.53944022e-03 -9.56006662e-01  1.03973175e-01  2.74263077e-01
    70 -6.08471519e-03 -9.55561109e-01  1.03171171e-01  2.76082691e-01
    80 -7.59869151e-03 -9.55101271e-01  1.02363278e-01  2.77930893e-01
    90 -9.07448768e-03 -9.54632716e-01  1.01556244e-01  2.79786277e-01
   100 -1.04989147e-02 -9.54164714e-01  1.00751220e-01  2.81617937e-01
   110 -1.18574426e-02 -9.53704760e-01  9.99440233e-02  2.83403995e-01
   120 -1.31459133e-02 -9.53254502e-01  9.91310561e-02  2.85142196e-01
