# inc   q0   q1   q2   q3
     0  7.37821662e-01  3.88099251e-01 -1.21291700e-02  5.52133181e-01
    10  7.38492259e-01  3.86024120e-01 -1.04862735e-02  5.52724705e-01
    20  7.39276563e-01  3.83056470e-01 -8.42248144e-03  5.53775194e-01
    30  7.40006948e-01  3.80021255e-01 -6.39205091e-03  5.54916844e-01
    40  7.40687529e-01  3.76948690e-01 -4.41956878e-03  5.56122413e-01
    50  7.41323557e-01  3.73841582e-01 -2.48140994e-03  5.57382900e-01
    60  7.41914773e-01  3.70696363e-01 -5.52857962e-04  5.58700609e-01
    70  7.42460582e-01  3.67520315e-01  1.37387198e-03  5.60070722e-01
    80  7.42963393e-01  3.64335518e-01  3.28650030e-03  5.61475045e-01
    90  7.43426361e-01  3.61160840e-01  5.17255853e-03  5.62897270e-01
   100  7.43851994e-01  3.58000947e-01  7.02894807e-03  5.64331575e-01
   110  7.44241552e-01  3.54846808e-01  8.85615595e-03  5.65782487e-01
   120  7.44595561e-01  3.51687966e-01  1.06603052e-02  5.67256013e-01
