# inc   q0   q1   q2   q3
     0  1.87039000e-02 -5.61401929e-01 -5.55611739e-01  6.13003779e-01
    10  1.57372104e-02 -5.59679945e-01 -5.54945566e-01  6.15261017e-01
    20  1.19863571e-02 -5.57736407e-01 -5.54424821e-01  6.17575538e-01
    30  8.37330099e-03 -5.55897459e-01 -5.53952020e-01  6.19713694e-01
    40  4.83615254e-03 -5.54173109e-01 -5.53533965e-01  6.21666249e-01
    50  1.34885979e-03 -5.52567686e-01 -5.53167663e-01  6.23436179e-01
    60 -2.10490010e-03 -5.51090630e-01 -5.52848907e-01  6.25022219e-01
    70 -5.52982455e-03 -5.49749083e-01 -5.52572219e-01  6.26425821e-01
    80 -8.91392318e-03 -5.48543975e-01 -5.52329184e-01  6.27656372e-01
    90 -1.22370733e-02 -5.47470941e-01 -5.52112920e-01  6.28726607e-01
   100 -1.54830207e-02 -5.46512235e-01 -5.51918825e-01  6.29658847e-01
   110 -1.86365943e-02 -5.45646323e-01 -5.51744651e-01  6.30476492e-01
   120 -2.16858235e-02 -5.44855129e-01 -5.51591479e-01  6.31196843e-01
