# inc   q0   q1   q2   q3
     0  6.30294478e-01  7.98635397e-02  1.48068989e-01  7.57909137e-01
    10  6.30251488e-01  8.04728534e-02  1.48553366e-01  7.57785642e-01
    20  6.30139396e-01  8.11505510e-02  1.49177749e-01  7.57683924e-01
    30  6.30026030e-01  8.18065871e-02  1.49815061e-01  7.57581897e-01
    40  6.29913254e-01  8.24504408e-02  1.50465067e-01  7.57477050e-01
    50  6.29797451e-01  8.30865424e-02  1.51129421e-01  7.57371570e-01
    60  6.29675296e-01  8.37152915e-02  1.51810963e-01  7.57267590e-01
    70  6.29542355e-01  8.43340940e-02  1.52513095e-01  7.57168370e-01
    80  6.29394423e-01  8.49384315e-02  1.53236950e-01  7.57077645e-01
    90  6.29227381e-01  8.55219041e-02  1.53980102e-01  7.57000023e-01
   100  6.29038879e-01  8.60768829e-02  1.54740665e-01  7.56938694e-01
   110  6.28830244e-01  8.66013056e-02  1.55518862e-01  7.56892741e-01
   120  6.28603950e-01  8.71014835e-02  1.56318703e-01  7.56858552e-01
