# inc   q0   q1   q2   q3
     0  3.90937299e-02  4.59622679e-01  4.28096259e-01  7.77143659e-01
    10  3.81310778e-02  4.61096236e-01  4.30068288e-01  7.75227418e-01
    20  3.69143076e-02  4.63057574e-01  4.32210209e-01  7.72922604e-01
    30  3.56925529e-02  4.64983235e-01  4.34329671e-01  7.70632448e-01
    40  3.44650503e-02  4.66852769e-01  4.36430339e-01  7.68367889e-01
    50  3.32326187e-02  4.68652501e-01  4.38500551e-01  7.66144695e-01
    60  3.19923776e-02  4.70379016e-01  4.40536385e-01  7.63968431e-01
    70  3.07426964e-02  4.72035713e-01  4.42542598e-01  7.61835429e-01
    80  2.94842891e-02  4.73623629e-01  4.44527971e-01  7.59740889e-01
    90  2.82150108e-02  4.75144930e-01  4.46503277e-01  7.57678053e-01
   100  2.69320087e-02  4.76607884e-01  4.48471151e-01  7.55640933e-01
   110  2.56313757e-02  4.78029053e-01  4.50425135e-01  7.53623549e-01
   120  2.43098894e-02  4.79427865e-01  4.52352382e-01  7.51621762e-01
