# inc   q0   q1   q2   q3
     0  3.32364301e-02 -2.61463221e-01 -4.24226092e-01  8.66351284e-01
    10  3.27104074e-02 -2.63239719e-01 -4.27719740e-01  8.64112668e-01
    20  3.11237135e-02 -2.66073477e-01 -4.32587399e-01  8.60874185e-01
    30  2.90475900e-02 -2.69242451e-01 -4.37674432e-01  8.57383130e-01
    40  2.65570133e-02 -2.72645231e-01 -4.42940193e-01  8.53676337e-01
    50  2.37291512e-02 -2.76151903e-01 -4.48317145e-01  8.49816916e-01
    60  2.06682535e-02 -2.79645048e-01 -4.53727578e-01  8.45873959e-01
    70  1.74798026e-02 -2.83033231e-01 -4.59078267e-01  8.41922675e-01
    80  1.42629830e-02 -2.86234958e-01 -4.64276923e-01  8.38041201e-01
    90  1.11198172e-02 -2.89197356e-01 -4.69254205e-01  8.34291154e-01
   100  6.13161482e-01  5.83119254e-01  3.52621184e-01  3.99578820e-01
   110  6.15973713e-01  5.79435050e-01  3.49245323e-01  4.03558067e-01
   120  6.18907086e-01  5.76832013e-01  3.44718531e-01  4.06679212e-01
