# inc   q0   q1   q2   q3
     0  6.58747190e-01  1.16338500e-01  7.13177230e-01  2.09513080e-01
    10  6.59313123e-01  1.16732548e-01  7.12288599e-01  2.10534248e-01
    20  6.60003852e-01  1.17138111e-01  7.11341613e-01  2.11344949e-01
    30  6.60791308e-01  1.17448540e-01  7.10278590e-01  2.12285215e-01
    40  6.61637803e-01  1.17693987e-01  7.09140679e-01  2.13314415e-01
    50  6.62526008e-01  1.17889246e-01  7.07946656e-01  2.14413029e-01
    60  6.63444291e-01  1.18041587e-01  7.06707303e-01  2.15575148e-01
    70  6.64382915e-01  1.18155095e-01  7.05431356e-01  2.16797872e-01
    80  6.65340680e-01  1.18230295e-01  7.04120028e-01  2.18078800e-01
    90  6.66318118e-01  1.18262811e-01  7.02772322e-01  2.19420001e-01
   100  6.67308273e-01  1.18244733e-01  7.01395090e-01  2.20822960e-01
   110  6.68301203e-01  1.18172917e-01  6.99998329e-01  2.22285859e-01
   120  6.69293377e-01  1.18052444e-01  6.98586158e-01  2.23802091e-01
