# inc   q0   q1   q2   q3
     0  7.40470001e-03  2.34593660e-01  2.31127720e-01  9.44187991e-01
    10  7.06765556e-03  2.34346795e-01  2.30295920e-01  9.44455090e-01
    20  6.64112413e-03  2.33761643e-01  2.29268871e-01  9.44852991e-01
    30  6.17853856e-03  2.33133119e-01  2.28241694e-01  9.45260019e-01
    40  5.69490625e-03  2.32503590e-01  2.27184358e-01  9.45672732e-01
    50  5.19375521e-03  2.31898472e-01  2.26077661e-01  9.46089327e-01
    60  4.68196158e-03  2.31330525e-01  2.24915638e-01  9.46507910e-01
    70  4.16556290e-03  2.30805832e-01  2.23696931e-01  9.46927135e-01
    80  3.64696969e-03  2.30318433e-01  2.22420923e-01  9.47348432e-01
    90  3.12310999e-03  2.29858708e-01  2.21086122e-01  9.47774312e-01
   100  2.58707936e-03  2.29428120e-01  2.19687619e-01  9.48205355e-01
   110  2.03801437e-03  2.29025872e-01  2.18226588e-01  9.48641214e-01
   120  1.47625554e-03  2.28643035e-01  2.16715997e-01  9.49080797e-01
