# inc   q0   q1   q2   q3
     0  2.06613680e-01  9.10237201e-01  3.58856660e-01  9.60470001e-04
    10  2.06832322e-01  9.09977388e-01  3.59383420e-01  2.25877533e-03
    20  2.07042846e-01  9.09665767e-01  3.60038148e-01  3.73961012e-03
    30  2.07266044e-01  9.09354107e-01  3.60676958e-01  5.29395480e-03
    40  2.07523119e-01  9.09035368e-01  3.61304716e-01  6.91067073e-03
    50  2.07821919e-01  9.08709095e-01  3.61916822e-01  8.60489199e-03
    60  2.08165533e-01  9.08376028e-01  3.62508060e-01  1.03927559e-02
    70  2.08553434e-01  9.08037268e-01  3.63074394e-01  1.22787932e-02
    80  2.08980732e-01  9.07694483e-01  3.63613126e-01  1.42573990e-02
    90  2.09436462e-01  9.07348911e-01  3.64126708e-01  1.63114478e-02
   100  2.09903558e-01  9.06999510e-01  3.64627921e-01  1.84082523e-02
   110  2.10374012e-01  9.06645798e-01  3.65122431e-01  2.05373237e-02
   120  2.10854637e-01  9.06287884e-01  3.65603852e-01  2.27247815e-02
